"","ID_chat","Saison","Annee","akde","Session","Age","Sex","Type_GPS","Outdoor_access","sum.DRR","sum.RR","mean.TM","mean.FXY","Monitoring_time","Outdoor_access2","Saison2","daily.RR","buffer100","buffer250","buffer500","id_owner"
"88","46","automne","2020",16089.8378230018,1,1,"M","gris","demande",NA,24,11.6818181818182,7.54545454545454,10,"restricted","fall",2.4,0.0479233226837061,0.231788079470199,0.436583811344806,21
"89","47","ete","2021",1273.81822591475,1,16,"M","gris","libre",NA,27.5,18.4363636363636,6.3,10,"unrestricted","summer",2.75,0.0441640378548896,0.370238699847638,0.41415298459972,22
"90","47","hiver","2021",10776.9956718802,1,16,"M","blanc","demande",3478,48.3,8.74444444444444,8.76666666666667,8,"restricted","winter",6.0375,0.0441640378548896,0.370238699847638,0.41415298459972,22
"91","47","printemps","2021",977.043163252863,1,16,"M","gris","libre",2072,44.9,12.275,8.19166666666667,11,"unrestricted","spring",4.08181818181818,0.0441640378548896,0.370238699847638,0.41415298459972,22
"92","50","automne","2021",6103.45843225947,1,7,"M","blanc","libre",559,4.8,9.675,5.7,7,"unrestricted","fall",0.685714285714286,0.469648562300319,0.58676844783715,0.694688574703859,23
"93","50","automne","2020",5937.27125351963,1,6,"M","blanc","libre",NA,16.3,9.42857142857143,6.05714285714286,6,"unrestricted","fall",2.71666666666667,0.469648562300319,0.58676844783715,0.694688574703859,23
"94","52","automne","2020",9614.8817013453,1,3,"F","blanc","libre",NA,18.8,10.3,6.9625,7,"unrestricted","fall",2.68571428571429,0.243589743589744,0.329597554763118,0.478986245542537,24
"95","52","hiver","2021",10049.5206358475,1,4,"F","blanc","libre",935,9.8,7.64666666666667,7.52666666666667,14,"unrestricted","winter",0.7,0.243589743589744,0.329597554763118,0.478986245542537,24
"96","52","printemps","2021",5607.20119714386,1,4,"F","blanc","libre",199,1.6,11.29,6.76,9,"unrestricted","spring",0.177777777777778,0.243589743589744,0.329597554763118,0.478986245542537,24
"97","53","ete","2021",2334.52158170575,1,15,"M","blanc","demande",1562,60.4,19.4555555555556,6.94444444444444,8,"restricted","summer",7.55,0.530546623794212,0.545594262295082,0.714796374313801,25
"98","53","printemps","2021",4132.34544754528,1,14,"M","blanc","demande",662,3.8,11.0181818181818,6.69090909090909,10,"restricted","spring",0.38,0.530546623794212,0.545594262295082,0.714796374313801,25
"99","53","automne","2021",7421.28805169505,1,15,"M","blanc","demande",1665,24.9,9.4,6.98333333333333,11,"restricted","fall",2.26363636363636,0.530546623794212,0.545594262295082,0.714796374313801,25
"100","54","automne","2020",2021.60901541882,1,7,"M","gris","demandeJour",1391,11.8,10.6769230769231,8.13846153846154,12,"restricted","fall",0.983333333333333,0.00320512820512821,0.23865374808771,0.451983165412575,26
"101","54","automne","2021",1836.31303286196,1,8,"M","gris","demandeJour",NA,24.9,8.61428571428571,6.53571428571429,13,"restricted","fall",1.91538461538462,0.00320512820512821,0.23865374808771,0.451983165412575,26
"102","54","ete","2021",2467.99254140698,1,7,"M","gris","demandeJour",1613,60.6,18.45,6.75,7,"restricted","summer",8.65714285714286,0.00320512820512821,0.23865374808771,0.451983165412575,26
"103","54","hiver","2021",1655.58014868802,1,7,"M","gris","demandeJour",NA,10.6,5.83333333333333,7.60555555555556,17,"restricted","winter",0.623529411764706,0.00320512820512821,0.23865374808771,0.451983165412575,26
"104","54","printemps","2021",2062.2592155262,1,7,"M","gris","demandeJour",NA,64.9,12.795652173913,8.39565217391304,22,"restricted","spring",2.95,0.00320512820512821,0.23865374808771,0.451983165412575,26
"105","55","ete","2021",3190.90903218622,1,2,"M","gris","libre",173,0.8,18.375,4.55,3,"unrestricted","summer",0.266666666666667,1,0.425878757004585,0.680091766505226,27
"106","55","hiver","2021",2893.47285127122,1,1,"M","gris","libre",NA,69.8,6.3,9.19285714285714,13,"unrestricted","winter",5.36923076923077,1,0.425878757004585,0.680091766505226,27
"107","55","automne","2020",17281.3438215127,1,1,"M","blanc","libre",1659,16.3,12.7222222222222,9.45555555555556,8,"unrestricted","fall",2.0375,1,0.425878757004585,0.680091766505226,27
"108","57","automne","2021",2168.35814870262,1,6,"F","blanc","libre",1032,20.1,10.0090909090909,6.65454545454545,10,"unrestricted","fall",2.01,0.310126582278481,0.600712105798576,0.705590220297975,28
"109","57","printemps","2021",1694.42635478586,1,15,"F","blanc","libre",662,3.8,11.0181818181818,6.69090909090909,10,"unrestricted","spring",0.38,0.310126582278481,0.600712105798576,0.705590220297975,28
"110","57","hiver","2021",6238.48528794139,1,5,"F","blanc","libreJour",NA,35.5,4.94444444444444,8.33333333333333,8,"restricted","winter",4.4375,0.310126582278481,0.600712105798576,0.705590220297975,28
"111","57","ete","2021",4162.39192767538,1,5,"F","blanc","libre",NA,28.1,18.1076923076923,6.08461538461538,12,"unrestricted","summer",2.34166666666667,0.310126582278481,0.600712105798576,0.705590220297975,28
"112","58","automne","2021",6632.41181780017,1,1,"M","gris","demande",313,1,7.0875,4.8125,7,"restricted","fall",0.142857142857143,1,0.0443651198368179,0.24553799082101,29
"113","58","ete","2021",4322.66689341469,1,1,"M","gris","demande",272,7.7,20.1454545454545,5.63636363636364,10,"restricted","summer",0.77,1,0.0443651198368179,0.24553799082101,29
"114","59","hiver","2021",1022.55308988276,1,6,"F","gris","libre",673,8.8,7.32307692307692,7.66923076923077,12,"unrestricted","winter",0.733333333333333,0.0741935483870968,0.487166324435318,0.7162386610451,30
"115","59","printemps","2021",1600.13964319211,1,6,"F","blanc","libre",720,4.2,10.075,6.7875,7,"unrestricted","spring",0.6,0.0741935483870968,0.487166324435318,0.7162386610451,30
"116","60","hiver","2021",7816.78967698162,1,10,"F","blanc","libre",427,7.2,11.1,7.7375,7,"unrestricted","winter",1.02857142857143,0.208860759493671,0.471036585365854,0.674181632913005,31
"117","60","printemps","2021",5466.70940423855,1,10,"F","blanc","libre",124,1.6,11.2,6.71111111111111,8,"unrestricted","spring",0.2,0.208860759493671,0.471036585365854,0.674181632913005,31
"118","61","hiver","2021",6065.90012661335,1,5,"M","blanc","demande",685,8.2,10.0727272727273,7.15454545454545,10,"restricted","winter",0.82,1,0.0255362614913177,0.092484076433121,32
"119","61","printemps","2021",1860.21420474379,2,5,"M","blanc","demande",1445,32.6,11.8714285714286,7.96428571428571,7,"restricted","spring",4.65714285714286,1,0.0255362614913177,0.092484076433121,32
"120","61","ete","2021",2372.71383870664,1,5,"M","gris","demande",NA,8.8,18.5666666666667,6.04444444444444,8,"restricted","summer",1.1,1,0.0255362614913177,0.092484076433121,32
"121","61","automne","2021",2177.68844380069,1,5,"M","gris","demande",1544,24.9,10.275,7.55,7,"restricted","fall",3.55714285714286,1,0.0255362614913177,0.092484076433121,32
"122","62","automne","2021",5108.24833305432,1,6,"F","blanc","libre",NA,6.6,4.28571428571429,7.52857142857143,6,"unrestricted","fall",1.1,0.158730158730159,0.474541751527495,0.54639175257732,33
"123","62","printemps","2021",4834.33523894778,1,5,"F","blanc","libre",121,1.6,11.725,7.025,7,"unrestricted","spring",0.228571428571429,0.158730158730159,0.474541751527495,0.54639175257732,33
"124","62","hiver","2021",6224.8463706263,1,5,"F","blanc","libre",673,8.8,5.69,7.8,9,"unrestricted","winter",0.977777777777778,0.158730158730159,0.474541751527495,0.54639175257732,33
"125","62","ete","2021",4516.96232742731,1,6,"F","blanc","libre",NA,10.3,14.4444444444444,6.23333333333333,8,"unrestricted","summer",1.2875,0.158730158730159,0.474541751527495,0.54639175257732,33
"126","63","automne","2021",1587.00363142216,1,5,"M","gris","libre",1663,24.9,9.22,7.36,9,"unrestricted","fall",2.76666666666667,0.0964630225080386,0.0948012232415902,0.272657743785851,34
"127","63","ete","2021",1579.81884110828,1,5,"M","gris","libre",NA,27.5,18.4363636363636,6.3,10,"unrestricted","summer",2.75,0.0964630225080386,0.0948012232415902,0.272657743785851,34
"128","63","hiver","2021",4385.29351492992,1,4,"M","blanc","libre",689,8.2,10.3545454545455,7.50909090909091,10,"unrestricted","winter",0.82,0.0964630225080386,0.0948012232415902,0.272657743785851,34
"129","63","printemps","2021",2289.10425086552,1,4,"M","gris","libre",1577,24.1,12.08,7.94,9,"unrestricted","spring",2.67777777777778,0.0964630225080386,0.0948012232415902,0.272657743785851,34
"130","64","ete","2021",4276.04203736474,1,5,"M","gris","libreJour",NA,27.5,18.3666666666667,6.06666666666667,11,"restricted","summer",2.5,0.00316455696202532,0.09072375127421,0.130030565461029,35
"131","64","printemps","2021",2974.65431149923,1,5,"M","gris","libreJour",749,4.4,10.1555555555556,7.24444444444444,8,"restricted","spring",0.55,0.00316455696202532,0.09072375127421,0.130030565461029,35
"132","65","ete","2021",2015.57868780824,1,1,"M","gris","libreJour",409,8.6,18.8833333333333,6.43333333333333,5,"restricted","summer",1.72,0.00316455696202532,0.09072375127421,0.130030565461029,35
"133","66","ete","2021",2255.17450401222,1,3,"F","gris","libre",862,27.2,20.7,6.43333333333333,11,"unrestricted","summer",2.47272727272727,1,0.0315843097300051,0.0798624379059992,36
"134","66","automne","2021",1723.96329523146,1,3,"F","gris","libre",NA,24.9,8.61428571428571,6.53571428571429,13,"unrestricted","fall",1.91538461538462,1,0.0315843097300051,0.0798624379059992,36
"135","68","automne","2021",3055.96655614532,1,5,"M","gris","demande",NA,6.6,4.75,7.31,9,"restricted","fall",0.733333333333334,0.418006430868167,0.620214395099541,0.756687898089172,37
"136","69","automne","2021",2313.19476669288,1,2,"F","gris","demande",NA,6.6,4.75,7.31,9,"restricted","fall",0.733333333333334,0.418006430868167,0.620214395099541,0.756687898089172,37
"137","7","automne","2020",3743.84402165094,1,15,"F","blanc","libreJour",1601,16.1,12.8,9.525,7,"restricted","fall",2.3,0.715189873417722,0.899643402954661,0.945491594498217,8
"138","7","automne","2021",3228.08944180334,1,16,"F","blanc","libreJour",1572,24.9,10.03,7.49,9,"restricted","fall",2.76666666666667,0.715189873417722,0.899643402954661,0.945491594498217,8
"139","7","ete","2020",1637.08281254298,1,15,"F","blanc","libreJour",214,2.4,18.6444444444444,7.28888888888889,8,"restricted","summer",0.3,0.715189873417722,0.899643402954661,0.945491594498217,8
"140","7","ete","2021",4978.97829720999,1,16,"F","blanc","libreJour",568,9.4,18.325,6.4,7,"restricted","summer",1.34285714285714,0.715189873417722,0.899643402954661,0.945491594498217,8
"141","7","hiver","2020",2993.24254303903,1,15,"F","blanc","libreJour",2627,29.4,8.40909090909091,9.08181818181818,10,"restricted","winter",2.94,0.715189873417722,0.899643402954661,0.945491594498217,8
"142","7","hiver","2021",964.076921432458,1,16,"F","blanc","libreJour",NA,56.9,6.20769230769231,8.75384615384615,12,"restricted","winter",4.74166666666667,0.715189873417722,0.899643402954661,0.945491594498217,8
"143","7","printemps","2021",2592.65465235977,1,16,"F","blanc","libreJour",587,3.8,10.91,6.64,9,"restricted","spring",0.422222222222222,0.715189873417722,0.899643402954661,0.945491594498217,8
